event,date,page_url,pdf_url
Zoning Board of Appeals Meeting,"December 3, 2025 - 6:00pm",https://www.ballstonspa.gov/home/events/19916,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/zoning_area_application_11-4-2025_tacy_0.pdf
Zoning Board of Appeals Meeting,"December 3, 2025 - 6:00pm",https://www.ballstonspa.gov/home/events/19916,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/info_packet_17_east_high_street_-_maas_0.pdf
Ethics Board Meeting,"November 25, 2025 - 1:00pm",https://www.ballstonspa.gov/home/events/20041,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/agenda-11.25.25_copy.pdf
Village of Ballston Spa Board of Trustees Meeting,"November 24, 2025 - 7:00pm",https://www.ballstonspa.gov/home/events/19971,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/11.24.25_att.pdf
Village of Ballston Spa Board of Trustees Meeting,"November 24, 2025 - 7:00pm",https://www.ballstonspa.gov/home/events/19971,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/bd._mtg._11.10.25.pdf
Village of Ballston Spa Board of Trustees Meeting,"November 24, 2025 - 7:00pm",https://www.ballstonspa.gov/home/events/19971,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/agenda_11.24.25_fsr.pdf
Revitalize Ballston Spa Public Workshop,"November 20, 2025 - 6:00pm",https://www.ballstonspa.gov/home/events/18941,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/bspa_boa_workshop_flyer_workshop_2_flyer.pdf
Park and Tree Meeting,"November 18, 2025 - 7:00pm",https://www.ballstonspa.gov/home/events/19936,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/park_and_tree_agenda_11.18.25.pdf
Planning Board Meeting,"November 12, 2025 - 7:00pm",https://www.ballstonspa.gov/home/events/19331,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/11.12.25_meeting_agenda.pdf
Planning Board Meeting,"November 12, 2025 - 7:00pm",https://www.ballstonspa.gov/home/events/19331,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/tacy_subdivision_rev_10-7-25_0.pdf
Planning Board Meeting,"November 12, 2025 - 7:00pm",https://www.ballstonspa.gov/home/events/19331,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/washington_st_subdivision_application__0.pdf
Planning Board Meeting,"November 12, 2025 - 7:00pm",https://www.ballstonspa.gov/home/events/19331,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/scan.pdf
Village of Ballston Spa Board of Trustees Meeting,"November 10, 2025 - 7:00pm",https://www.ballstonspa.gov/home/events/19521,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/11-10-2025_att_2_of_2.pdf
Village of Ballston Spa Board of Trustees Meeting,"November 10, 2025 - 7:00pm",https://www.ballstonspa.gov/home/events/19521,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/11-10-2025_att_1_of_2.pdf
Village of Ballston Spa Board of Trustees Meeting,"November 10, 2025 - 7:00pm",https://www.ballstonspa.gov/home/events/19521,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/bd._mtg._10.27.25.pdf
Village of Ballston Spa Board of Trustees Meeting,"November 10, 2025 - 7:00pm",https://www.ballstonspa.gov/home/events/19521,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/special_mtg._10.27.25.pdf
Village of Ballston Spa Board of Trustees Meeting,"November 10, 2025 - 7:00pm",https://www.ballstonspa.gov/home/events/19521,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/agenda_11.10.25_fsr_amended.pdf
